step,loss,ema_loss,val_loss,lr,tokens_per_sec
20,7.817204,7.809266,,0.00000315,717.92
40,7.800581,7.791281,,0.00000615,692.18
60,7.759734,7.770591,,0.00000915,795.67
80,7.633525,7.718127,,0.00001215,738.31
100,7.572415,7.655757,,0.00001515,741.57
120,7.481070,7.579245,,0.00001815,723.93
140,7.235981,7.477620,,0.00002115,827.95
160,7.162333,7.358973,,0.00002415,907.09
180,7.227908,7.238027,,0.00002715,808.36
200,6.992123,7.143829,7.174843,0.00002988,764.61
220,7.009665,7.061624,,0.00002986,617.30
240,7.014087,6.985468,,0.00002983,510.25
260,6.683981,6.904902,,0.00002980,600.76
280,6.589218,6.805658,,0.00002977,640.02
300,6.458336,6.723021,,0.00002973,607.55
320,6.606843,6.675265,,0.00002970,597.68
340,6.495742,6.656465,,0.00002966,599.07
360,6.694356,6.591585,,0.00002962,523.69
380,6.735082,6.580536,,0.00002957,600.40
400,6.707302,6.499383,6.607734,0.00002953,527.40
420,6.532057,6.486677,,0.00002948,581.62
50,7.652763,7.735716,,0.00001913,476.65
440,6.443206,6.488691,,0.00002943,636.37
460,6.199916,6.426383,,0.00002938,608.59
480,6.522018,6.394638,,0.00002932,589.57
100,7.356470,7.434977,,0.00002884,528.38
500,6.558107,6.393586,,0.00002926,616.02
520,6.423518,6.348460,,0.00002920,481.37
540,6.149347,6.331584,,0.00002914,603.45
150,7.270764,7.134899,,0.00002744,494.90
560,6.371579,6.383262,,0.00002908,665.30
580,6.067117,6.346976,,0.00002901,661.23
200,6.504930,6.884937,6.789740,0.00002556,558.00
600,6.416971,6.366040,6.442351,0.00002894,610.01
620,6.061569,6.292844,,0.00002887,475.82
640,6.486269,6.315002,,0.00002880,593.76
250,6.734859,6.740744,,0.00002328,484.83
660,6.297700,6.299516,,0.00002872,643.70
680,6.190046,6.295253,,0.00002865,472.34
700,5.943760,6.283026,,0.00002857,549.07
300,6.553342,6.642610,,0.00002069,439.84
720,6.286088,6.317175,,0.00002849,452.24
740,6.102681,6.286640,,0.00002840,463.21
760,6.025640,6.194847,,0.00002832,414.10
350,6.537017,6.548500,,0.00001787,384.66
780,6.304905,6.222098,,0.00002823,432.63
800,6.338114,6.263319,6.094159,0.00002814,460.08
820,6.266689,6.255162,,0.00002805,469.28
400,6.706628,6.511751,6.583589,0.00001494,401.23
840,6.442546,6.293329,,0.00002795,451.25
860,6.169594,6.248976,,0.00002786,460.31
880,6.292038,6.235383,,0.00002776,472.08
450,6.554704,6.462704,,0.00001202,388.43
900,6.512022,6.261793,,0.00002766,472.64
920,6.353625,6.229165,,0.00002756,469.11
940,6.465442,6.253600,,0.00002745,475.82
500,6.224768,6.400098,,0.00000921,409.11
960,6.031348,6.249210,,0.00002735,480.37
980,6.377053,6.254713,,0.00002724,470.08
1000,6.253989,6.212929,6.008388,0.00002713,463.25
550,6.335483,6.424619,,0.00000662,408.31
1020,5.920606,6.174621,,0.00002702,451.32
1040,5.984630,6.165276,,0.00002690,468.74
1060,6.245986,6.170472,,0.00002679,502.46
600,6.280654,6.404860,6.452940,0.00000435,409.56
1080,5.691923,6.133902,,0.00002667,487.59
1100,6.257356,6.115578,,0.00002655,471.66
650,6.364927,6.446282,,0.00000300,389.17
1120,5.980379,6.108457,,0.00002643,393.32
1140,6.284687,6.195210,,0.00002631,472.94
1160,5.948506,6.112999,,0.00002618,463.84
700,6.522520,6.404428,,0.00000300,401.48
1180,6.478375,6.109627,,0.00002606,458.42
1200,5.797048,6.050136,6.191584,0.00002593,468.90
1220,6.114362,6.043519,,0.00002580,475.10
750,6.394040,6.426671,,0.00000300,405.40
1240,5.432625,6.104708,,0.00002567,479.26
1260,6.121001,6.122829,,0.00002553,463.22
1280,6.013011,6.104915,,0.00002540,469.54
1300,6.481552,6.129750,,0.00002526,483.50
1320,5.888402,5.967917,,0.00002512,584.24
1340,5.952949,6.017600,,0.00002498,477.98
1360,6.210182,6.063392,,0.00002484,489.34
1380,6.152869,6.011605,,0.00002470,454.14
1400,6.212357,5.959069,5.649523,0.00002455,448.25
1420,6.018034,5.979081,,0.00002441,480.38
1440,5.767228,5.975778,,0.00002426,478.51
1460,6.088238,6.011733,,0.00002411,516.56
1480,5.501642,6.073318,,0.00002396,950.59
1500,6.199867,6.055107,,0.00002381,867.35
1520,5.960614,6.071371,,0.00002366,590.58
1540,6.058079,6.045155,,0.00002350,471.79
1560,5.473684,5.980851,,0.00002335,487.41
1580,5.855364,5.984138,,0.00002319,471.87
1600,5.587585,5.985264,5.733072,0.00002303,448.03
1620,5.160316,5.910770,,0.00002287,481.13
1640,5.885189,5.980833,,0.00002271,468.14
1660,5.636256,5.970632,,0.00002255,486.54
1680,6.103406,6.015741,,0.00002238,484.06
1700,5.520797,6.011819,,0.00002222,467.97
