step,loss,ema_loss,val_loss,lr,tokens_per_sec
20,7.800811,7.793916,,0.00000315,980.06
40,7.786960,7.785954,,0.00000615,1263.46
60,7.736508,7.762523,,0.00000915,1278.90
80,7.680913,7.724111,,0.00001215,1247.05
100,7.615421,7.667369,7.591896,0.00001515,1252.75
120,7.544776,7.590454,,0.00001815,1208.35
140,7.384900,7.490301,,0.00002115,1222.67
160,7.300701,7.380837,,0.00002415,1226.64
180,7.150424,7.268642,,0.00002715,1236.30
200,7.026196,7.153465,7.032786,0.00003000,1190.85
220,6.955402,7.060560,,0.00003000,1203.62
240,6.900015,6.967470,,0.00003000,1229.89
260,6.869079,6.884920,,0.00003000,1241.19
280,6.735836,6.812954,,0.00003000,1222.32
300,6.642966,6.744478,6.594887,0.00003000,1212.31
320,6.661917,6.679469,,0.00003000,1219.87
340,6.614180,6.643223,,0.00003000,1216.26
360,6.435102,6.575584,,0.00003000,1205.85
380,6.383324,6.530999,,0.00003000,1213.58
400,6.419483,6.484491,6.452124,0.00003000,1235.33
420,6.386655,6.456633,,0.00003000,1145.89
440,6.556726,6.448860,,0.00003000,1029.71
460,6.521729,6.419151,,0.00003000,934.84
