step,loss,ema_loss,val_loss,lr,tokens_per_sec
20,7.823929,7.834931,,0.00000224,1810.72
40,7.800710,7.816369,,0.00000437,1885.60
60,7.723619,7.777802,,0.00000651,1742.46
80,7.651375,7.715615,,0.00000864,1905.35
100,7.534406,7.633286,,0.00001077,2123.82
120,7.330523,7.520432,,0.00001291,2092.05
140,7.325588,7.409250,,0.00001504,2100.14
160,7.094134,7.243375,,0.00001717,2109.54
180,6.892439,7.073146,,0.00001931,2112.16
200,6.816017,6.905516,6.761111,0.00002144,2034.44
220,6.629572,6.752366,,0.00002357,2045.08
240,6.430463,6.620997,,0.00002571,2135.77
260,6.160000,6.475708,,0.00002784,2137.60
280,6.175816,6.351481,,0.00002997,2136.57
300,6.103347,6.242305,,0.00003211,2085.21
320,6.269225,6.173891,,0.00003424,2122.00
340,6.098563,6.054537,,0.00003637,2137.95
360,5.967947,5.949290,,0.00003851,2133.45
380,5.788863,5.848673,,0.00004064,2131.02
400,5.854435,5.779747,6.155427,0.00004277,2107.32
420,5.718048,5.674050,,0.00004491,2020.58
440,5.076706,5.555958,,0.00004704,2041.72
460,5.396827,5.498807,,0.00004917,2083.57
480,5.323915,5.393880,,0.00005131,2084.91
500,5.376299,5.293157,,0.00005344,2103.26
520,4.971330,5.159553,,0.00005557,2118.25
540,4.874353,5.056109,,0.00005771,2125.84
560,4.910172,5.020018,,0.00005984,2121.59
580,4.921514,4.954165,,0.00006197,2116.73
600,4.794773,4.840180,5.353095,0.00006411,2073.09
620,4.479236,4.730664,,0.00006624,2103.76
640,4.344036,4.695793,,0.00006837,2103.06
660,4.198560,4.580675,,0.00007051,2095.82
680,4.733955,4.559086,,0.00007264,2101.71
700,4.564448,4.506809,,0.00007477,2121.71
720,4.504975,4.453897,,0.00007691,2125.34
740,4.838576,4.395756,,0.00007904,2081.09
760,4.209368,4.372260,,0.00007961,2042.58
780,4.131305,4.276681,,0.00007958,2114.02
800,4.592432,4.297374,5.180613,0.00007956,2083.41
820,4.248420,4.273956,,0.00007954,2096.48
840,3.878474,4.191555,,0.00007952,2130.42
860,4.049359,4.106178,,0.00007949,2088.03
880,4.235572,4.028072,,0.00007947,2094.53
900,3.764097,3.989118,,0.00007945,2110.99
920,3.923832,3.899491,,0.00007942,2120.75
940,4.246721,3.905627,,0.00007940,2102.67
960,3.243461,3.770963,,0.00007937,2115.83
980,3.706779,3.764725,,0.00007934,2117.40
1000,3.396955,3.771322,4.954200,0.00007932,2087.78
1020,3.521545,3.821676,,0.00007929,2095.89
1040,3.655959,3.717758,,0.00007926,2094.90
1060,3.334218,3.738213,,0.00007923,2037.48
1080,3.799883,3.663683,,0.00007920,2046.63
1100,3.261382,3.629863,,0.00007917,2105.59
1120,3.963368,3.675914,,0.00007914,2098.14
1140,3.859533,3.618704,,0.00007911,2091.43
1160,3.265936,3.551418,,0.00007908,2136.17
1180,3.463616,3.537089,,0.00007905,2130.69
1200,3.507022,3.484463,4.106744,0.00007902,2111.84
1220,3.548579,3.410885,,0.00007899,2092.66
1240,3.125295,3.474949,,0.00007895,2129.03
1260,3.492845,3.423744,,0.00007892,2126.18
1280,2.677493,3.396564,,0.00007888,2123.17
1300,3.440512,3.337258,,0.00007885,2103.61
1320,2.933534,3.357543,,0.00007881,2072.14
1340,3.349162,3.341607,,0.00007878,2002.18
1360,3.794460,3.324617,,0.00007874,2036.83
1380,3.483716,3.350697,,0.00007870,2078.43
1400,3.043606,3.338761,3.310867,0.00007867,2079.35
1420,2.889446,3.219702,,0.00007863,2104.23
1440,3.166799,3.183265,,0.00007859,2127.62
1460,3.256300,3.172892,,0.00007855,2088.90
1480,3.487526,3.213170,,0.00007851,2113.01
1500,2.601289,3.054224,,0.00007847,2118.65
1520,3.305996,3.182667,,0.00007843,2081.36
1540,3.301535,3.227489,,0.00007839,2095.17
1560,2.883878,3.114759,,0.00007835,2110.07
1580,3.302260,3.134686,,0.00007830,2111.73
1600,2.704691,3.040769,3.860766,0.00007826,2085.52
1620,3.347187,3.098947,,0.00007822,2079.69
1640,3.458465,3.157840,,0.00007817,2111.61
1660,2.864499,3.043448,,0.00007813,2111.62
