step,loss,ema_loss,val_loss,lr,tokens_per_sec
20,7.751658,7.780878,,0.00003150,1549.42
40,7.521979,7.684513,,0.00006150,1784.45
60,7.206607,7.469822,,0.00009150,2072.48
80,6.933495,7.227438,,0.00012150,1995.44
100,6.818948,6.987552,6.699945,0.00015150,1974.58
120,6.650784,6.774655,,0.00018150,1913.60
140,6.537230,6.620996,,0.00021150,1838.03
160,6.442024,6.506646,,0.00024150,1890.38
180,6.461035,6.474237,,0.00027150,1697.20
200,6.490419,6.443041,6.285789,0.00029386,1736.10
220,6.282957,6.408317,,0.00029259,1785.40
240,6.384680,6.357816,,0.00029120,1595.02
260,6.315364,6.305906,,0.00028970,1569.85
280,6.274453,6.277330,,0.00028809,1357.17
300,6.307556,6.253641,6.078454,0.00028636,1207.39
320,6.119421,6.194293,,0.00028452,1563.99
340,6.211762,6.150768,,0.00028256,1924.82
360,5.916781,6.111663,,0.00028051,1957.37
380,6.130157,6.064325,,0.00027834,1454.98
400,5.891250,6.004422,5.870529,0.00027607,1633.10
420,5.935934,5.958007,,0.00027370,1521.54
440,5.653473,5.879439,,0.00027123,1435.03
460,5.689197,5.857921,,0.00026865,1548.68
480,5.699296,5.823673,,0.00026599,1364.52
500,5.994926,5.781410,5.641123,0.00026322,1560.45
520,5.654223,5.729278,,0.00026037,1614.79
540,5.642663,5.678208,,0.00025742,1680.22
560,5.501382,5.645031,,0.00025439,1672.45
580,5.619509,5.629055,,0.00025127,1388.51
600,5.428232,5.593069,5.418680,0.00024807,1410.75
620,5.646034,5.563244,,0.00024479,1590.72
640,5.359361,5.521789,,0.00024143,1708.34
660,5.519118,5.508530,,0.00023799,1771.32
680,5.562997,5.495908,,0.00023449,1746.73
700,5.188007,5.460542,5.350635,0.00023092,1650.19
720,5.442063,5.428836,,0.00022728,1650.91
740,5.501886,5.431469,,0.00022357,1683.49
760,5.117358,5.366445,,0.00021981,1665.04
780,5.353982,5.348012,,0.00021599,1698.79
800,5.188689,5.319435,5.207197,0.00021212,1713.33
820,5.282240,5.312187,,0.00020819,1599.46
840,5.263939,5.299516,,0.00020422,1575.80
860,5.356677,5.279184,,0.00020021,1702.92
880,5.174063,5.252439,,0.00019615,1750.48
900,5.266260,5.241019,5.026500,0.00019205,1436.70
920,5.020053,5.204569,,0.00018793,1712.39
940,5.220617,5.199993,,0.00018377,1776.77
960,5.069385,5.179430,,0.00017958,1651.88
980,5.056699,5.157450,,0.00017537,1690.34
1000,5.085689,5.149758,5.008488,0.00017114,1654.74
1020,5.089474,5.142189,,0.00016689,1701.17
1040,5.045863,5.134839,,0.00016262,1690.06
1060,4.921490,5.133211,,0.00015835,1638.05
1080,5.277508,5.114745,,0.00015407,1755.75
1100,5.183043,5.087102,4.854009,0.00014979,1779.68
1120,5.052543,5.094959,,0.00014550,1866.53
1140,4.901762,5.054676,,0.00014122,1808.81
1160,5.116015,5.071968,,0.00013695,1823.24
1180,4.950916,5.056980,,0.00013269,1801.06
1200,4.972083,5.020400,4.829081,0.00012844,1711.17
