step,loss,ema_loss,val_loss,lr,tokens_per_sec
198020,6.241415,4.947328,,0.00000525,1793.71
198040,6.333319,5.710913,,0.00001025,1898.31
198060,5.841294,5.837517,,0.00001525,1886.49
198080,5.439056,5.740264,,0.00002025,1923.10
198100,5.360050,5.575038,5.063348,0.00002525,1953.56
198120,4.988291,5.348702,,0.00002893,1849.46
198140,5.016563,5.124142,,0.00002855,1847.40
198160,4.822189,4.963436,,0.00002812,1848.53
198180,4.815915,4.823368,,0.00002764,1826.22
198200,4.690619,4.706697,4.460839,0.00002711,1821.26
198220,4.616146,4.639564,,0.00002653,1796.66
198240,4.503058,4.569297,,0.00002590,1816.30
198260,4.548458,4.515799,,0.00002523,1906.58
198280,4.477749,4.480193,,0.00002453,2994.46
198300,4.238098,4.448823,4.213898,0.00002378,3115.91
198320,4.189938,4.442693,,0.00002300,3421.99
198340,4.492184,4.399124,,0.00002218,3376.28
198360,4.468777,4.373581,,0.00002134,3386.51
198380,4.540483,4.367115,,0.00002048,3566.57
198400,4.272089,4.323815,4.053258,0.00001959,3489.35
198420,4.119383,4.287922,,0.00001868,3473.50
198440,4.254329,4.294274,,0.00001776,3586.18
198460,4.188113,4.231384,,0.00001683,3056.50
198480,4.515146,4.247754,,0.00001589,3517.26
198500,4.148081,4.256622,4.031796,0.00001495,3374.54
198520,4.161999,4.232902,,0.00001401,3455.28
198540,4.234320,4.221428,,0.00001307,3443.84
198560,4.306595,4.195440,,0.00001214,3478.37
198580,4.201955,4.189400,,0.00001122,3485.61
198600,4.266296,4.174947,3.940084,0.00001032,3210.42
198620,4.095438,4.181339,,0.00000943,3172.57
198640,4.056494,4.157626,,0.00000857,3173.96
198660,4.254591,4.150550,,0.00000773,2895.91
198680,4.180702,4.130557,,0.00000692,3455.72
198700,4.277817,4.160873,3.794302,0.00000615,3413.14
198720,4.241442,4.170446,,0.00000540,3425.75
198740,4.210902,4.151613,,0.00000470,3409.78
198760,4.187773,4.171446,,0.00000403,3479.40
198780,4.329878,4.146836,,0.00000341,3474.49
198800,4.122880,4.136200,3.907295,0.00000300,3298.60
198820,4.324270,4.142691,,0.00000300,3402.16
198840,4.220856,4.137399,,0.00000300,2841.97
198860,4.067285,4.125455,,0.00000300,2449.45
198880,4.083742,4.150832,,0.00000300,2962.57
198900,4.044471,4.133185,3.820469,0.00000300,2487.07
198920,4.118775,4.126839,,0.00000300,3210.90
198940,4.071534,4.123191,,0.00000300,3382.51
198960,4.099651,4.145386,,0.00000300,3156.83
198980,4.195990,4.088560,,0.00000300,3273.39
