step,loss,ema_loss,val_loss,lr,tokens_per_sec
20,7.081224,7.085074,,0.00000787,3051.55
40,6.964659,7.052610,,0.00001537,3159.85
60,6.946160,6.998035,,0.00002288,2803.04
80,6.810613,6.899048,,0.00002925,3108.81
100,6.517464,6.753620,6.577297,0.00002884,3250.50
120,6.406969,6.571629,,0.00002834,3438.16
140,6.197130,6.411402,,0.00002776,3418.89
160,6.148909,6.280911,,0.00002710,3416.82
180,6.022834,6.159872,,0.00002637,3405.08
200,6.132459,6.078230,6.005605,0.00002556,3423.39
220,6.125574,6.005222,,0.00002470,3381.01
240,5.934213,5.940929,,0.00002377,3314.54
260,5.760721,5.877654,,0.00002279,3126.98
280,5.700406,5.808840,,0.00002176,2987.47
300,5.760240,5.774962,5.739133,0.00002069,2475.83
320,5.736336,5.730362,,0.00001958,2721.55
340,5.688385,5.682762,,0.00001844,2812.53
360,5.471359,5.626277,,0.00001729,2843.63
380,5.767060,5.622107,,0.00001612,2874.90
400,5.581028,5.594782,5.608078,0.00001494,2802.86
420,5.769205,5.576124,,0.00001376,2844.80
440,5.473552,5.556742,,0.00001260,2760.02
460,5.587862,5.545522,,0.00001144,2487.95
480,5.473141,5.510828,,0.00001031,2791.99
500,5.512529,5.489323,5.569465,0.00000921,2634.09
520,5.375906,5.448962,,0.00000814,2844.66
540,5.439558,5.440836,,0.00000711,2863.84
560,5.537986,5.479815,,0.00000614,2933.10
580,5.370618,5.454665,,0.00000521,2849.31
600,5.400111,5.460587,5.490845,0.00000435,2470.55
620,5.406565,5.434897,,0.00000356,2706.56
640,5.354817,5.446118,,0.00000300,2471.46
660,5.555713,5.432199,,0.00000300,2692.03
680,5.492580,5.444876,,0.00000300,2816.44
700,5.522553,5.440905,5.487618,0.00000300,2779.19
720,5.365190,5.449586,,0.00000300,2845.72
740,5.402873,5.451545,,0.00000300,2783.49
760,5.510245,5.413035,,0.00000300,2720.42
780,5.336965,5.413298,,0.00000300,2931.86
800,5.349413,5.421075,5.488998,0.00000019,24971.57
820,5.403443,5.398136,,0.00000206,3320.22
840,5.413469,5.388595,,0.00000394,3136.38
860,5.256451,5.405704,,0.00000581,2791.32
880,5.464213,5.421054,,0.00000769,2905.18
900,5.417755,5.377743,5.485851,0.00000956,3205.92
920,5.321563,5.373681,,0.00001144,3236.18
940,5.292606,5.373743,,0.00001331,3248.16
960,5.434111,5.385835,,0.00001519,3237.64
980,5.377306,5.372502,,0.00001706,3332.37
1000,5.273355,5.344830,5.404214,0.00001894,3429.83
1020,5.420774,5.313012,,0.00002081,3316.04
1040,5.320291,5.332799,,0.00002269,3386.52
1060,5.263274,5.300783,,0.00002456,3409.93
1080,5.267748,5.269583,,0.00002644,3193.15
1100,5.301620,5.268748,5.310796,0.00002831,3151.22
1120,5.246147,5.231150,,0.00002926,3348.79
1140,4.900624,5.202692,,0.00002916,3479.82
1160,5.198721,5.216143,,0.00002906,3391.35
1180,5.160090,5.181786,,0.00002896,3430.55
1200,5.049304,5.185576,5.224127,0.00002885,3357.35
1220,5.300159,5.156268,,0.00002873,3359.52
1240,5.145440,5.119243,,0.00002861,3287.74
1260,4.967649,5.127626,,0.00002848,3443.26
1280,5.103319,5.099634,,0.00002835,3404.62
1300,5.356720,5.116126,5.228354,0.00002821,3425.66
1320,5.049124,5.098388,,0.00002807,3496.49
1340,4.863345,5.046178,,0.00002793,3460.84
1360,4.937533,5.038396,,0.00002777,3531.63
1380,4.875860,5.036416,,0.00002762,3432.88
1400,5.084669,5.037562,5.134102,0.00002746,3446.15
1420,4.960218,4.989980,,0.00002729,3467.44
1440,4.883717,4.969905,,0.00002712,3529.25
1460,4.953057,4.956506,,0.00002694,3493.74
1480,4.913992,4.970657,,0.00002676,3533.26
1500,4.894247,4.980569,5.069957,0.00002658,3443.36
1520,5.051819,4.949148,,0.00002639,3528.59
1540,5.030570,4.956678,,0.00002619,3268.17
1560,5.231235,4.923674,,0.00002599,3156.46
1580,4.827628,4.914565,,0.00002579,3271.85
1600,4.588510,4.867606,5.001128,0.00002559,3185.23
1620,4.699681,4.834289,,0.00002538,3321.19
1640,4.764003,4.840348,,0.00002516,3486.65
1660,4.729261,4.880544,,0.00002494,3408.15
1680,4.763224,4.834017,,0.00002472,3449.96
1700,4.662807,4.783024,5.093764,0.00002449,3511.96
1720,4.916970,4.855225,,0.00002426,3552.26
1740,4.793068,4.795197,,0.00002403,3437.29
1760,4.666278,4.746842,,0.00002379,3512.22
1780,4.688036,4.757813,,0.00002355,3532.74
1800,4.861878,4.746261,4.896443,0.00002331,3459.03
1820,4.807641,4.781534,,0.00002306,3509.60
1840,4.616917,4.751726,,0.00002281,3536.93
1860,4.652851,4.744681,,0.00002256,3554.08
1880,4.755472,4.704445,,0.00002230,3529.47
1900,4.640505,4.733117,4.760474,0.00002204,3417.42
1920,4.603902,4.673947,,0.00002178,3528.80
1940,4.685306,4.690885,,0.00002152,3527.74
1960,4.596751,4.711345,,0.00002125,3490.56
1980,4.973711,4.729867,,0.00002098,3504.00
2000,4.532178,4.672356,4.945588,0.00002071,3423.67
2020,4.411616,4.631913,,0.00002044,3476.50
2040,4.913483,4.655171,,0.00002016,3538.40
2060,4.746973,4.686938,,0.00001989,3427.83
2080,4.681122,4.632949,,0.00001961,3399.28
2100,4.594471,4.665296,4.772298,0.00001933,3437.93
2120,4.406417,4.641821,,0.00001904,3294.29
2140,4.500768,4.616767,,0.00001876,3273.57
2160,4.550875,4.593506,,0.00001847,3241.18
2180,4.719348,4.639822,,0.00001819,3335.57
2200,4.243117,4.555574,4.764850,0.00001790,3439.83
2220,4.855587,4.583799,,0.00001761,3417.17
2240,4.844392,4.618739,,0.00001732,3474.27
2260,4.694598,4.650253,,0.00001703,3491.03
2280,4.296966,4.609024,,0.00001673,3487.50
2300,4.551705,4.591981,4.883908,0.00001644,3488.21
2320,4.655836,4.606441,,0.00001615,3469.75
2340,4.296786,4.576954,,0.00001585,3536.43
2360,4.455206,4.589838,,0.00001556,3472.65
2380,4.350542,4.593995,,0.00001527,3497.80
2400,4.450580,4.593449,4.764117,0.00001497,3461.17
2420,4.706984,4.598443,,0.00001468,3448.41
2440,4.706821,4.608664,,0.00001438,3512.30
2460,4.383402,4.550828,,0.00001409,3505.36
2480,4.541503,4.527165,,0.00001379,3304.07
2500,4.623940,4.577056,4.749708,0.00001350,2843.06
2520,4.160439,4.489428,,0.00001321,2838.52
2540,4.730490,4.482807,,0.00001292,3004.70
2560,4.592217,4.550447,,0.00001262,3087.84
2580,4.776420,4.613837,,0.00001233,3269.03
2600,4.395685,4.549122,4.734749,0.00001204,3153.43
2620,4.413560,4.518317,,0.00001176,3234.29
2640,4.605553,4.529481,,0.00001147,3358.48
2660,4.417324,4.528569,,0.00001118,3244.54
2680,4.559959,4.540731,,0.00001090,3355.47
2700,4.366838,4.513919,4.809143,0.00001062,3304.83
2720,4.433529,4.491202,,0.00001034,3339.62
2740,4.285391,4.446034,,0.00001006,3321.39
2760,4.246536,4.469106,,0.00000978,3327.47
2780,4.601206,4.535152,,0.00000951,3301.57
2800,4.242471,4.469350,4.790286,0.00000923,3301.74
2820,4.754827,4.441393,,0.00000896,3271.08
2840,4.399189,4.448161,,0.00000869,3400.49
2860,4.115273,4.436437,,0.00000843,3310.79
2880,4.865395,4.507087,,0.00000816,3355.87
2900,4.672336,4.508740,4.542687,0.00000790,3340.40
2920,4.316759,4.491182,,0.00000764,3346.57
