step,loss,ema_loss,val_loss,lr,tokens_per_sec
199100,4.068059,4.039650,3.833635,0.00000315,3783.87
199120,4.233059,4.032417,,0.00000615,3621.35
199140,3.936769,4.031800,,0.00000915,3739.17
199160,4.198013,4.016453,,0.00001215,3339.41
199180,3.765627,3.954401,,0.00001515,3820.22
199200,4.214853,3.914443,3.788463,0.00001815,3764.99
199220,3.839009,3.900436,,0.00002115,3718.44
199240,3.947996,3.872844,,0.00002415,3774.75
199260,3.781696,3.821765,,0.00002715,3774.22
199280,3.690463,3.816724,,0.00002926,3711.38
199300,3.903743,3.781994,3.751072,0.00002911,3606.82
199320,3.528848,3.726982,,0.00002894,3698.19
199340,3.294948,3.642688,,0.00002876,3671.23
199360,3.436309,3.602707,,0.00002856,3695.71
199380,3.763302,3.655639,,0.00002835,3225.64
199400,3.501925,3.617562,3.651946,0.00002813,3623.48
199420,3.127667,3.574457,,0.00002790,3647.53
199440,3.519625,3.583780,,0.00002765,3733.10
199460,3.937483,3.494328,,0.00002739,3661.92
199480,3.552856,3.433371,,0.00002712,3665.75
199500,3.030035,3.386512,3.497022,0.00002684,3605.94
199520,3.522494,3.437417,,0.00002654,3651.18
199540,3.523092,3.386497,,0.00002624,3632.16
199560,3.330908,3.364403,,0.00002592,3635.55
199580,3.120590,3.412399,,0.00002559,3535.48
199600,3.208735,3.399081,3.581481,0.00002525,2982.94
199620,3.477038,3.324807,,0.00002490,3289.41
199640,3.565962,3.377573,,0.00002454,3018.52
199660,3.844969,3.373448,,0.00002417,3277.00
199680,3.845885,3.343571,,0.00002380,3481.25
199700,2.991593,3.243106,3.672148,0.00002341,3441.68
199720,3.350874,3.248663,,0.00002302,3532.42
199740,3.281414,3.214431,,0.00002262,3499.41
199760,3.034956,3.242549,,0.00002221,3516.59
199780,2.924463,3.208859,,0.00002179,3512.05
199800,3.499550,3.193332,3.588728,0.00002137,3472.43
199820,3.746504,3.242200,,0.00002094,3064.84
199840,3.256002,3.317114,,0.00002050,3460.85
199860,3.528765,3.301389,,0.00002006,3247.81
199880,2.894145,3.177468,,0.00001961,3466.72
199900,3.048365,3.238800,3.713419,0.00001916,3396.76
199920,2.758827,3.233707,,0.00001871,3523.81
199940,3.000923,3.179058,,0.00001825,3492.81
199960,2.957536,3.206407,,0.00001779,3477.17
199980,2.926842,3.142640,,0.00001732,3261.04
200000,3.182126,3.178418,3.543170,0.00001686,3434.21
200020,2.755431,3.112373,,0.00001639,3076.24
200040,2.751808,3.085659,,0.00001592,3470.93
200060,2.972692,3.061472,,0.00001545,3449.85
200080,2.919805,3.162791,,0.00001498,3377.34
200100,3.589836,3.154114,3.402995,0.00001451,3423.58
200120,2.430814,3.094099,,0.00001403,3489.82
200140,2.393007,2.992117,,0.00001356,3504.10
200160,3.031758,2.966383,,0.00001310,3477.12
200180,2.784193,3.000530,,0.00001263,3257.58
200200,2.698820,3.112575,3.334988,0.00001217,3218.25
200220,3.330733,3.098343,,0.00001170,3209.10
200240,3.491643,3.147842,,0.00001125,2820.59
200260,3.437648,3.073012,,0.00001079,2683.51
200280,3.100695,3.039868,,0.00001034,3005.56
200300,3.322790,3.056070,3.593168,0.00000990,2815.62
200320,3.031021,3.088787,,0.00000946,3127.62
200340,2.397089,3.070602,,0.00000902,2868.52
200360,3.644081,3.159686,,0.00000859,3067.68
200380,2.958425,3.161400,,0.00000817,3208.35
200400,3.086446,3.068348,3.538267,0.00000775,3125.99
200420,3.099030,3.032966,,0.00000734,2777.20
200440,2.852124,2.972886,,0.00000694,3229.95
200460,2.872211,2.979956,,0.00000655,3231.37
200480,2.673745,2.955236,,0.00000616,3256.41
200500,2.903492,2.980914,3.314906,0.00000579,3137.64
200520,3.075824,3.103251,,0.00000542,3205.75
200540,3.424166,3.121969,,0.00000506,2904.17
200560,3.050002,3.175490,,0.00000471,3282.75
200580,2.966300,3.022328,,0.00000438,2918.50
200600,2.305883,2.941985,3.300415,0.00000405,3126.77
200620,3.208511,2.974121,,0.00000373,2834.60
200640,3.462399,3.029219,,0.00000343,3311.67
200660,2.569957,2.970351,,0.00000313,3161.68
200680,3.251928,3.036970,,0.00000300,3305.36
200700,3.404168,3.145531,3.308597,0.00000300,3122.06
200720,3.597913,3.011682,,0.00000300,3052.23
200740,2.270727,2.942629,,0.00000300,3062.51
200760,2.940432,2.981971,,0.00000300,3194.32
200780,2.975322,3.057268,,0.00000300,3194.08
200800,2.703943,3.059762,3.438355,0.00000300,2700.59
200820,2.898415,3.079821,,0.00000300,3030.68
200840,3.021238,3.083118,,0.00000300,3189.02
200860,3.039818,3.015220,,0.00000300,3241.70
200880,2.935168,2.928236,,0.00000300,3303.52
200900,2.980998,3.032556,3.390382,0.00000300,3021.17
200920,2.117745,2.981879,,0.00000300,3289.94
200940,3.580297,3.012833,,0.00000300,3113.10
200960,2.760254,3.038984,,0.00000300,3245.63
200980,3.702928,3.074063,,0.00000300,3262.11
201000,3.467814,3.070220,3.401749,0.00000300,2806.63
201020,2.599480,3.062372,,0.00000300,3341.92
201040,2.607846,3.055947,,0.00000300,3081.28
201060,3.599467,3.068044,,0.00000300,3115.48
