step,loss,ema_loss,val_loss,lr,tokens_per_sec
200820,3.795012,3.377101,,0.00000787,3000.83
200840,3.161909,3.351278,,0.00001537,3289.89
200860,3.759795,3.354785,,0.00002288,2888.89
200880,3.488826,3.402919,,0.00002925,3235.22
200900,3.501829,3.411008,3.031810,0.00002884,2929.39
200920,3.791795,3.478454,,0.00002834,3107.39
200940,3.707456,3.398946,,0.00002776,3239.56
200960,3.300006,3.362793,,0.00002710,3107.79
200980,2.911413,3.282523,,0.00002637,2888.35
201000,2.737627,3.275034,3.333504,0.00002556,3055.12
201020,3.471764,3.282407,,0.00002470,2712.52
201040,2.967154,3.229272,,0.00002377,2673.30
201060,3.224735,3.276989,,0.00002279,2826.52
201080,3.295636,3.349501,,0.00002176,2934.77
201100,3.080261,3.183948,3.327426,0.00002069,3043.46
201120,3.265002,3.213708,,0.00001958,3281.34
201140,2.670249,3.203632,,0.00001844,3284.56
201160,2.904081,3.099877,,0.00001729,3133.25
201180,3.119872,3.141488,,0.00001612,3036.52
201200,3.038306,3.211690,3.378482,0.00001494,3431.10
201220,3.602390,3.208964,,0.00001376,3270.01
201240,2.861361,3.172010,,0.00001260,3457.88
201260,3.279220,3.234077,,0.00001144,2989.46
201280,3.265664,3.185817,,0.00001031,3259.62
201300,3.304012,3.217091,3.226404,0.00000921,3273.33
201320,3.396266,3.216553,,0.00000814,3136.55
201340,3.291510,3.165434,,0.00000711,3202.03
201360,3.096955,3.196597,,0.00000614,3079.83
201380,2.958643,3.183531,,0.00000521,3180.21
201400,3.493603,3.259123,3.064608,0.00000435,3044.71
201420,2.797525,3.182971,,0.00000356,3188.54
201440,3.329886,3.212981,,0.00000300,3204.93
201460,3.200785,3.202876,,0.00000300,2837.31
201480,2.801934,3.208680,,0.00000300,2940.94
201500,2.940405,3.101011,3.169775,0.00000300,3045.49
201520,3.080519,3.209104,,0.00000300,3182.33
201540,3.590048,3.195186,,0.00000300,3157.25
201560,3.522504,3.204850,,0.00000300,3138.92
201580,2.586340,3.151673,,0.00000300,3332.36
