step,loss,ema_loss,val_loss,lr,tokens_per_sec
5920,6.532497,4.290062,,0.00000400,1014.54
5940,6.212354,5.593928,,0.00000800,990.09
5960,6.039800,5.886630,,0.00001200,1102.75
5980,5.816660,5.856321,,0.00001600,1189.92
6000,5.493391,5.693226,5.504581,0.00002000,1097.72
6020,5.397166,5.562915,,0.00001930,1126.32
6040,5.203851,5.409965,,0.00001905,1380.66
6060,5.460974,5.336329,,0.00001876,1025.43
6080,5.314888,5.247148,,0.00001844,1057.94
6100,5.063937,5.170976,5.045015,0.00001809,1078.87
6120,4.787760,5.105708,,0.00001771,1303.92
6140,4.900388,5.054492,,0.00001729,1686.30
6160,4.963367,5.021970,,0.00001685,1648.34
6180,4.810048,4.964503,,0.00001637,1656.21
6200,4.852806,4.948813,4.952525,0.00001588,1637.21
6220,4.861750,4.901961,,0.00001536,1652.78
6240,4.807419,4.882209,,0.00001482,1549.14
6260,4.732336,4.851154,,0.00001426,1589.04
6280,4.894895,4.847698,,0.00001368,1556.56
6300,4.691230,4.778021,4.656930,0.00001309,1706.41
6320,4.610489,4.803935,,0.00001249,1666.16
6340,4.901708,4.800370,,0.00001187,1723.49
6360,4.685591,4.773361,,0.00001125,1634.37
6380,4.786778,4.757613,,0.00001063,1739.61
6400,4.710519,4.740849,4.612596,0.00001000,1768.55
6420,4.750408,4.703770,,0.00000937,1598.35
6440,4.905206,4.704017,,0.00000875,1745.26
6460,4.540463,4.682993,,0.00000813,1785.42
6480,4.809607,4.699852,,0.00000751,1576.19
6500,4.634294,4.684112,4.594995,0.00000691,1585.16
6520,4.616524,4.677255,,0.00000632,1475.03
6540,4.750854,4.677239,,0.00000574,1556.30
6560,4.475060,4.670548,,0.00000518,1837.13
6580,4.608118,4.652984,,0.00000464,1811.62
6600,4.715909,4.679824,4.692041,0.00000412,1672.66
6620,4.739372,4.674884,,0.00000363,1551.54
6640,4.712166,4.684401,,0.00000315,1575.64
6660,4.802590,4.694635,,0.00000271,1710.92
6680,4.543347,4.679120,,0.00000229,1581.70
6700,4.669012,4.671318,4.495942,0.00000200,1716.14
6720,4.664519,4.672804,,0.00000200,1388.83
6740,4.581856,4.660953,,0.00000200,1569.69
6760,4.580920,4.669164,,0.00000200,1713.46
6780,4.611891,4.648426,,0.00000200,1608.95
6800,4.680475,4.687445,4.694948,0.00000200,1666.03
6820,4.639768,4.647911,,0.00000200,1685.53
6840,4.621435,4.662235,,0.00000200,1750.11
6860,4.529900,4.648605,,0.00000200,1512.18
6880,4.609741,4.647687,,0.00000200,1798.01
6900,4.618708,4.640963,4.599087,0.00000200,1682.60
