step,loss,ema_loss,val_loss,lr,tokens_per_sec
7020,4.626133,4.607040,,0.00000133,1746.36
7040,4.524613,4.595378,,0.00000267,1880.65
7060,4.742372,4.611167,,0.00000400,1986.16
7080,4.507277,4.596703,,0.00000533,2026.24
7100,4.635393,4.572909,4.528837,0.00000667,1817.69
7120,4.774849,4.586309,,0.00000800,1904.34
7140,4.489346,4.575228,,0.00000783,1876.14
7160,4.675237,4.610331,,0.00000778,1916.44
7180,4.559915,4.595933,,0.00000772,1925.67
7200,4.594581,4.585376,4.430658,0.00000765,1533.94
7220,4.685402,4.595844,,0.00000758,1500.49
7240,4.648340,4.607192,,0.00000751,1756.45
7260,4.474656,4.592015,,0.00000742,1769.16
7280,4.773087,4.573287,,0.00000733,1528.37
7300,4.596768,4.565804,4.497880,0.00000724,1779.99
7320,4.541977,4.570355,,0.00000713,1583.59
7340,4.799690,4.603438,,0.00000703,1709.02
7360,4.415787,4.575464,,0.00000692,2037.00
7380,4.742698,4.569669,,0.00000680,2036.91
7400,4.521412,4.564670,4.505095,0.00000668,2003.58
7420,4.682817,4.554149,,0.00000655,1917.91
7440,4.565428,4.577129,,0.00000642,1653.84
7460,4.557009,4.563593,,0.00000628,1808.72
7480,4.646325,4.539539,,0.00000614,1701.78
7500,4.619316,4.532602,4.291898,0.00000600,1653.40
7520,4.432995,4.538282,,0.00000585,1545.17
7540,4.416341,4.517392,,0.00000570,1939.63
7560,4.633551,4.527551,,0.00000555,1986.54
7580,4.622945,4.496696,,0.00000539,1964.60
7600,4.512954,4.500479,4.305470,0.00000524,1966.39
7620,4.513073,4.496392,,0.00000508,1965.81
7640,4.525691,4.527175,,0.00000491,2014.68
7660,4.326401,4.494991,,0.00000475,1824.94
7680,4.569564,4.497931,,0.00000458,1875.26
7700,4.394463,4.499853,4.394714,0.00000442,1941.91
7720,4.439209,4.477040,,0.00000425,1952.87
7740,4.343177,4.462966,,0.00000408,1977.49
7760,4.506153,4.477130,,0.00000392,1993.44
7780,4.433637,4.513440,,0.00000375,1976.83
7800,4.510955,4.520951,4.542855,0.00000358,1984.46
7820,4.527969,4.508299,,0.00000342,1958.69
7840,4.528313,4.523482,,0.00000325,2015.16
7860,4.533633,4.534679,,0.00000309,1875.13
7880,4.559588,4.538769,,0.00000292,1652.12
7900,4.586533,4.517128,4.320974,0.00000276,1832.66
7920,4.476968,4.520679,,0.00000261,1885.68
7940,4.548178,4.505333,,0.00000245,1904.46
7960,4.609350,4.478534,,0.00000230,1839.79
7980,4.741209,4.533758,,0.00000215,1909.54
8000,4.451134,4.532090,4.415039,0.00000200,1857.42
8020,4.395898,4.495716,,0.00000186,1864.95
8040,4.451276,4.497681,,0.00000172,1911.26
8060,4.459981,4.479074,,0.00000158,1917.17
8080,4.608694,4.501510,,0.00000145,1885.28
8100,4.570418,4.496105,4.385508,0.00000132,1642.94
8120,4.665371,4.530381,,0.00000120,1830.07
8140,4.580520,4.525789,,0.00000108,1732.56
8160,4.627954,4.512526,,0.00000097,1792.31
8180,4.338269,4.484013,,0.00000087,1252.91
8200,4.539289,4.472640,4.357481,0.00000080,1544.53
8220,4.511800,4.499480,,0.00000080,1515.42
8240,4.478408,4.516263,,0.00000080,1870.69
8260,4.489363,4.499327,,0.00000080,1748.22
8280,4.560026,4.538270,,0.00000080,1751.66
8300,4.626866,4.522987,4.332816,0.00000080,1942.29
8320,4.417105,4.514255,,0.00000080,2026.03
8340,4.548229,4.503333,,0.00000080,2024.15
8360,4.480263,4.522936,,0.00000080,1910.90
8380,4.426395,4.520124,,0.00000080,1789.53
8400,4.739784,4.521758,4.552826,0.00000080,1910.27
8420,4.527031,4.522112,,0.00000080,1817.44
8440,4.501051,4.508471,,0.00000080,1698.45
8460,4.456808,4.495719,,0.00000080,1786.42
8480,4.497499,4.476794,,0.00000080,1810.02
8500,4.401455,4.467143,4.496040,0.00000080,1609.87
