step,loss,ema_loss,val_loss,lr,tokens_per_sec
7520,4.639812,4.523365,,0.00000156,1175.00
7540,4.616550,4.520239,,0.00000311,1180.34
7560,4.482519,4.540600,,0.00000467,1194.18
7580,4.692134,4.576945,,0.00000622,1210.95
7600,4.610935,4.554116,4.508847,0.00000679,1158.61
7620,4.564112,4.531881,,0.00000670,1154.66
7640,4.618912,4.519043,,0.00000659,1193.79
7660,4.430548,4.532339,,0.00000647,1196.80
7680,4.730085,4.533577,,0.00000633,1194.29
7700,4.550745,4.525389,4.461198,0.00000618,1192.73
7720,4.449131,4.501158,,0.00000602,1197.14
7740,4.667902,4.517894,,0.00000584,1198.01
7760,4.651558,4.528214,,0.00000565,1186.74
7780,4.423974,4.503108,,0.00000546,1192.02
7800,4.417504,4.518706,4.458921,0.00000525,1174.89
7820,4.408287,4.484944,,0.00000503,1178.58
7840,4.496299,4.494969,,0.00000481,1195.22
7860,4.412896,4.462243,,0.00000458,1187.90
7880,4.464422,4.500292,,0.00000435,1195.62
7900,4.543646,4.480027,4.504376,0.00000411,1177.66
7920,4.482616,4.512575,,0.00000387,1173.53
7940,4.263124,4.494278,,0.00000362,1088.47
7960,4.584563,4.535262,,0.00000338,1136.61
7980,4.638865,4.510984,,0.00000313,1679.84
8000,4.621298,4.476172,4.456875,0.00000289,1149.86
8020,4.629912,4.487867,,0.00000265,1185.83
8040,4.466743,4.507226,,0.00000242,1177.05
8060,4.649668,4.518557,,0.00000219,1171.26
8080,4.589843,4.509502,,0.00000197,1215.86
