step,loss,ema_loss,val_loss,lr,tokens_per_sec
7520,4.639863,4.523383,,0.00000120,1366.30
7540,4.616681,4.520355,,0.00000240,1154.53
7560,4.483220,4.540953,,0.00000360,1467.27
7580,4.693059,4.577634,,0.00000480,1277.20
7600,4.612571,4.555246,4.510046,0.00000600,1256.98
7620,4.492073,4.549226,,0.00000585,1547.85
7640,4.732486,4.560975,,0.00000580,19.57
7660,4.441573,4.520909,,0.00000574,1207.48
7680,4.523650,4.504747,,0.00000567,1685.51
7700,4.557070,4.489772,4.347599,0.00000560,1484.73
7720,4.640649,4.504542,,0.00000552,1861.38
7740,4.334904,4.511998,,0.00000543,1591.79
7760,4.392570,4.498785,,0.00000533,1976.60
7780,4.352543,4.490981,,0.00000523,2024.58
7800,4.528664,4.493900,4.420513,0.00000512,1951.84
7820,4.453384,4.510232,,0.00000501,1849.08
7840,4.523674,4.508059,,0.00000489,130.00
7860,4.493383,4.503096,,0.00000476,1637.85
7880,4.411994,4.478146,,0.00000463,1772.29
7900,4.538433,4.480949,4.486780,0.00000450,1761.64
7920,4.500515,4.517027,,0.00000436,1866.74
7940,4.548276,4.492055,,0.00000422,1855.50
7960,4.576274,4.507214,,0.00000408,1773.27
7980,4.455974,4.483012,,0.00000393,1902.23
8000,4.460799,4.501005,4.467955,0.00000378,1846.13
8020,4.465974,4.481150,,0.00000362,1790.63
8040,4.618941,4.492016,,0.00000347,1881.45
8060,4.675240,4.497777,,0.00000331,1862.35
8080,4.381595,4.497201,,0.00000316,1845.08
8100,4.475663,4.475930,4.532541,0.00000300,1785.48
8120,4.488249,4.488559,,0.00000284,1580.01
8140,4.611485,4.488578,,0.00000269,1617.04
8160,4.364048,4.484796,,0.00000253,1591.93
8180,4.386837,4.463341,,0.00000238,1735.34
8200,4.401469,4.491072,4.468216,0.00000222,1551.34
8220,4.429369,4.471887,,0.00000207,1661.08
8240,4.496168,4.468946,,0.00000192,1457.34
8260,4.601520,4.484784,,0.00000178,1546.74
8280,4.416248,4.492727,,0.00000164,1444.78
8300,4.394199,4.535381,4.390861,0.00000150,1602.79
8320,4.573463,4.511421,,0.00000137,1782.86
8340,4.491733,4.489508,,0.00000124,1588.42
8360,4.438324,4.464928,,0.00000111,1683.32
8380,4.531314,4.480229,,0.00000099,1569.96
8400,4.564856,4.493967,4.180109,0.00000088,1453.33
8420,4.365191,4.456424,,0.00000077,1487.55
8440,4.491347,4.463282,,0.00000067,1640.47
8460,4.562766,4.487954,,0.00000060,1614.02
8480,4.403328,4.481520,,0.00000060,1605.02
8500,4.619909,4.484346,4.590517,0.00000060,1601.55
8520,4.482524,4.446936,,0.00000060,1599.10
8540,4.566768,4.457999,,0.00000060,1565.74
8560,4.498280,4.457157,,0.00000060,1601.72
8580,4.297212,4.491511,,0.00000060,1462.84
8600,4.479806,4.462354,4.412061,0.00000060,1535.89
8620,4.354988,4.456015,,0.00000060,1094.11
8640,4.324619,4.451358,,0.00000060,1036.95
8660,4.603392,4.490444,,0.00000060,1515.34
8680,4.707228,4.491832,,0.00000060,1493.21
8700,4.490710,4.499712,4.467590,0.00000060,1432.61
